ClassName,Time,GroupNo
vehicle_lifecycle.tests.test_ods_report_api.TestODSAPI,10.709,2
trips.tests.apis.test_scheduled_trip_requests.TestCustomerScheduledTripRequestCreationValidation,10.455,2
trips.tests.apis.test_scheduled_trip_requests.TestDriverScheduledTripRequestConfirm,10.252999999999998,2
payments.tests.apis.v3.test_apis.TestV3PaymentRefund,9.825,2
users.tests.apis.v2.test_carsharing_customers.TestMembershipNumbers,9.583,2
payments.tests.apis.v2.test_pricing.TestFareEstimateAPI,9.384,2
vehicles.tests.apis.v2.test_carsharing_vehicles.TestVehiclesAPIAsCustomer,9.005,2
rentals.tests.models.test_rentals.TestRentals,8.904000000000002,2
hardware_sdk_mensa.tests.utils.test_parameters.TestUpdateMensaDeviceParameters,8.748,2
trips.tests.apis.test_trips.TestSpecialRequests,8.667,2
users.tests.apis.test_drivers.TestEditDriverAsServiceManager,8.468,2
ops_center.tests.tasks.test_analytic_aggregations.AggregatedDriverSlotStatisticsTestCase,8.369,2
vehicles.tests.utils.test_vehicle_import_from_ods.TestVehicleImportFromODS,8.199,2
users.tests.models.test_user_profiles.UserProfileQuerySetTestCase,7.9959999999999996,2
payments.tests.apis.v2.test_payments.TestBlockPricingCalculation,7.728,2
services.tests.apis.v3.test_markets.TestMarketAPIAsCustomer,7.573999999999999,2
vehicle_blocks.tests.test_vehicle_blocks.TestCreateVehicleBlockAPIWithOverride,7.483,2
users.tests.apis.v3.test_carsharing_customers.TestCustomerProfileType,7.411999999999999,2
services.tests.apis.v3.test_services.TestActiveServicePricing,7.1,2
users.tests.serializers.test_staff.TestStaffSerializer,6.756,2
websockets.tests.apis.test_scheduling.TestIndependentFiltersOnScheduledRentals,6.532,2
users.tests.apis.v2.test_carsharing_customers.TestCustomerProfileType,6.210000000000001,2
stations.tests.test_apis.VehicleTypeTimelineAPITestAsCustomer,6.068,2
rentals.tests.apis.v3.test_scheduling.TestScheduledRentalRequestV3ApiAsServiceManager,5.944999999999999,2
users.tests.apis.v2.test_supplier_managers.TestEditSupplierManagersAsServiceManager,5.689,2
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMappingMultipleServices,5.673,2
ops_center.tests.views.test_about_pages.TestAboutPages,5.419,2
trips.tests.apis.test_trips.TestTripListFilteringAsCustomer,5.364000000000001,2
trips.tests.serializers.test_trips.TestTripSerializer,5.196000000000001,2
promotions.tests.signals.test_signals.PromotionSignalsTestCase,5.1190000000000015,2
users.tests.apis.test_radio_stations.TestRadioStationAPIAsDispatcher,5.037000000000001,2
service_regions.tests.test_serviceregions.TestIsRouteAllowed,4.791,2
payments_engine.tests.tests_payment_utils.TestPaymentUtils,4.715,2
trips.tests.serializers.test_trips.TestPassengerValidation,4.662999999999999,2
driver_scheduling.tests.apis.test_slots.TestSlotsAPIAsServiceManagerWithoutSlotPermission,4.602,2
trips.tests.apis.test_scheduled_trip_requests.TestScheduledTripConversion,4.5889999999999995,2
trips.tests.apis.test_scheduled_trip_requests.TestScheduledTripRequestSummary,4.449,2
users.tests.signals.test_charge_registration_fee.TestDriverLicenseSignals,4.367,2
vehicle_lifecycle.tests.test_mon_offre_report.TestMonOffreReport,4.2219999999999995,2
hardware_sdk_continental.tests.test_vehicle_actions.TestContinentalVehicleActionsAPI,4.188,2
trips.tests.apis.test_trips.TestTripSummaryAsDispatcher,4.138,2
rentals.tests.apis.v3.test_rentals.TestRentalAPIStationsAsDispatcher,4.057,2
rentals.tests.models.test_rentals.TestScheduledRentalRequestFactory,3.974,2
hardware_sdk_otakeys.tests.test_rentals.RentalCoreTestCase,3.943000000000001,2
users.tests.apis.test_staff.TestStaffAPIViaBusinessAdmin,3.7750000000000004,2
app_logging.tests.utils.test_customer_device_context_utils.TestMFAUntrustedDeviceAndSendCode,3.7190000000000003,2
users.tests.apis.v2.test_carsharing_customers.TestCustomerCreation,3.6630000000000003,2
hardware_sdk_otakeys.tests.test_vehicle_utils.TestAutoSwitchGPSSource,3.5430000000000006,2
services.tests.apis.test_outages.OutageTestCase,3.469,2
vehicles.tests.apis.v2.test_carsharing_vehicles.TestVehicleApiAsDispatcherForVehicleAceess,3.384,2
trips.tests.utils.test_dispatch_utils.TestDispatchUtils,3.37,2
vehicles.tests.apis.v3.test_event_reports.TestEventReportAsCustomer,3.299,2
hardware_sdk_mensa.tests.test_interface.TestGetRentalSummary,3.264,2
vehicle_automation.tests.test_automation_apis.TestDTCAlertOrder,3.1689999999999996,2
phone_messaging.tests.models.test_sip_trunking.SipTrunkingTestCase,3.1550000000000002,2
payments.tests.utils.test_carsharing_payment_utils.TestScheduledRentalRequestPaymentLifecycleStateChangeEventsToDataPipeline,3.049,2
users.tests.apis.v3.test_customers.TestCustomerAssociateBusinessEntityAPIFromBusinessAdmin,3.002,2
vehicle_blocks.tests.test_vehicle_blocks.TestCreateVehicleBlockAPI,2.9750000000000005,2
rentals.tests.apis.v3.test_scheduling.TestSRDateTimeAPIPeriodNotContiguousMidDayBreak,2.883,2
users.tests.apis.test_customers.TestDownloadCustomerData,2.8489999999999998,2
vehicles.tests.apis.v2.test_carsharing_vehicles.VehiclesAPITestCase,2.8269999999999995,2
vehicles.tests.models.test_carsharing_vehicles_2.TestCarsharingVehiclesInServiceUpdateFirebase,2.768,2
payments.tests.apis.v3.test_addon.TestAddonAssociationAPI,2.749,2
